"gene_name","gene_id","contig","location","omim_id","hgnc_id","unigene_id","ensembl_id","pharmgkb_id","hprd_id","homologene_id","pubmed_id"
"SDHA","6389","NC_000005.9","218356..256815","600857","10680","440475","ENSG00000073578","-","HPRD:02914","3073","18559093"
"SEMG2","6407","NC_000020.10","43850010..43853099","182141","10743","537218","ENSG00000124157","-","HPRD:01642","88473","16450401"
"SEPP1","6414","NC_000005.9","42799982..42812024 complement","601484","10751","275775","ENSG00000250722","-","HPRD:03286","3945","15047212"
"SERPINA3","12","NC_000014.8","95078714..95090390","107280","16","534293","ENSG00000196136","-","HPRD:00120","111129","18217980"
"SERPINB5","5268","NC_000018.9","61144144..61172318","154790","8949","55279","ENSG00000206075","-","HPRD:01111","20580","15731774"
"SFN","2810","NC_000001.10","27189633..27190947","601290","10773","523718","ENSG00000175793","-","HPRD:03185","4475","16450401"
"SFRP1","6422","NC_000008.10","41119478..41166980 complement","604156","10776","213424","ENSG00000104332","-","HPRD:09165","2266","16434596"
"SFRP2","6423","NC_000004.11","154701742..154710228 complement","604157","10777","481022","ENSG00000145423","-","HPRD:16041","56438","19513747"
"SFRP4","6424","NC_000007.13","37945534..37956525 complement","606570","10778","658169","ENSG00000106483","-","HPRD:07357","2267","19513747"
"SFRP5","6425","NC_000010.10","99526508..99531756 complement","604158","10779","279565","ENSG00000120057","-","HPRD:09166","2268","19513747"
"SIPA1","6494","NC_000011.9","65405578..65418391","602180","10885","530477","ENSG00000213445","-","HPRD:03713","7940","19906411"
"SIX1","6495","NC_000014.8","61111417..61116155 complement","601205","10887","633506","ENSG00000126778","-","HPRD:03125","4360","18398830"
"SKP2","6502","NC_000005.9","36152189..36184147","601436","10901","23348","ENSG00000145604","-","HPRD:03256","55942","18559093"
"SLC3A2","6520","NC_000011.9","62623518..62656353","158070","11026","502769","ENSG00000168003","-","HPRD:01148","1795","15047212"
"SLC7A6OS","84138","NC_000016.9","68334520..68344848 complement","0","25807","709557","ENSG00000103061","-","HPRD:07824","41853","17054799"
"SLURP1","57152","NC_000008.10","143822362..143823829 complement","606119","18746","676358","ENSG00000126233","-","HPRD:05836","10710","16353136"
"SMAD2","4087","NC_000018.9","45359466..45457515 complement","601366","6768","12253","ENSG00000175387","PA30525","HPRD:03221","21197","12894231"
"SMAD4","4089","NC_000018.9","48556583..48611412","600993","6770","75862","ENSG00000141646","-","HPRD:02995","31310","12894231"
"SOCS1","8651","NC_000016.9","11348274..11350039 complement","603597","19383","50640","ENSG00000185338","-","HPRD:04669","2776","15021916"
"SOX1","6656","NC_000013.10","112721913..112726020","602148","11189","202526","ENSG00000182968","-","HPRD:03687","48390","18398837"
"SP100","6672","NC_000002.11","231280871..231410317","604585","11206","369056","ENSG00000067066","-","HPRD:06844","90788","16353136"
"SPA17","53340","NC_000011.9","124543740..124564690","608621","11210","286233","ENSG00000064199","-","HPRD:12272","7951","15047212"
"SPARC","6678","NC_000005.9","151041008..151066517 complement","182120","11219","111779","ENSG00000113140","PA36055","HPRD:01631","31132","19225617"
"SPINK5","11005","NC_000005.9","147443535..147516925","605010","15464","331555","ENSG00000133710","-","HPRD:05423","4987","16353136"
"SPP1","6696","NC_000004.11","88896802..88904563","166490","11255","313","ENSG00000118785","-","HPRD:01325","20156","17306351"
"SPRR1A","6698","NC_000001.10","152956557..152958290","182265","11259","46320","ENSG00000169474","-","HPRD:01647","105675","16353136"
"SPRR1B","6699","NC_000001.10","153003679..153005376","182266","11260","1076","ENSG00000169469","-","HPRD:01648","105655","10389939"
"SPRR2A","6700","NC_000001.10 ","153028596..153029988 complement","182267","11261","355542","ENSG00000241794","-","HPRD:01649","31413","15047212"
"SPRR2B","6701","NC_000001.10","153042717..153044084 complement","182268","11262","568239","ENSG00000196805","-","-","31413","16353136"
"SPRR3","6707","NC_000001.10","152974223..152976332","182271","11268","139322","ENSG00000163209","-","HPRD:01652","105423","16353136"
"ST14","6768","NC_000011.9","130029682..130080257","606797","11344","504315","ENSG00000149418","-","HPRD:06005","7906","14584072"
"STARD10","10809","NC_000011.9","72465774..72504750 complement","0","10666","188606","ENSG00000214530","-","HPRD:18116","4841","16450401"
"STAT1","6772","NC_000002.11","191833762..191878976 complement","600555","11362","642990","ENSG00000115415","-","HPRD:02777","21428","17306351"
"STAT3","6774","NC_000017.10","40465343..40540513 complement","102582","11364","463059","ENSG00000168610","PA337","HPRD:00026","7960","10853013"
"STAU1","6780","NC_000020.10","47729876..47804904 complement","601716","11370","596704","ENSG00000124214","-","HPRD:03422","3384","15047212"
"STK11","6794","NC_000019.9","1205798..1228434","602216","11389","515005","ENSG00000118046","-","HPRD:03740","393","19340305"
"STK31","56164","NC_000007.13","23749838..23872127","605790","11407","309767","ENSG00000196335","-","HPRD:10427","12677","18217980"
"STX16","8675","NC_000020.10","57226328..57254582","603666","11431","307913","ENSG00000124222","-","HPRD:04718","2791","18506748"
"SULF1","23213","NC_000008.10","70378859..70573147","610012","20391","409602","ENSG00000137573","-","HPRD:15450","49408","20084279"
"SULT2B1","6820","NC_000019.9","49055429..49102684","604125","11459","369331","ENSG00000088002","PA36249","HPRD:04991","49487","16353136"
"SYCP2","10388","NC_000020.10","58438618..58507209 complement","604105","11490","202676","ENSG00000196074","-","HPRD:06822","8604","18618715"
"SYK","6850","NC_000009.11","93564012..93660832","600085","11491","371720","ENSG00000165025"," PA36273","HPRD:02514","2390","15713962"
"TARS","6897","NC_000005.9","33440898..33468196","187790","11572","481860","ENSG00000113407","-","HPRD:01762","11852","18559093"
"TBC1D1","23216","NC_000004.11","37892720..38140794","609850","11578","176503","ENSG00000065882","-","HPRD:18161","56856","15047212"
"TBX3","6926","NC_000012.11","115108059..115121969 complement","601621","11602","725165","ENSG00000135111","-","HPRD:03373","4371","17054780"
"TCEA2","6919","NC_000020.10","62688439..62703700","604784","11614","505004","ENSG00000171703","-","HPRD:16069","68304","18506748"
"TERT","7015","NC_000005.9","1253282..1295162 complement","187270","11730","492203","ENSG00000164362","-","HPRD:01754","31141","19513524"
"TFF3","7033","NC_000021.8","43732163..43735706  complement","600633","11757","82961","ENSG00000160180","-","HPRD:02797","2427","16450401"
"TFPI2","7980","NC_000007.13","93515745..93520065 complement","600033","11761","438231","ENSG00000105825","-","HPRD:08962","38194","20208141"
"TFRC","7037","NC_000003.11","195776155..195809032 complement","190010","11763","529618","ENSG00000072274","-","HPRD:01812","2429","16353136"
"TGFA","7039","NC_000002.11","70674416..707811045 complement","190170","11765","170009","ENSG00000163235","-","HPRD:07522","2431","17306351"
"TGFB1","7040","NC_000019.9","41836651..41859816 complement","190180","11766","645227","ENSG00000105329","PA350 ","HPRD:01821","540","15771902"
"TGFB2","7042","NC_000001.10","218519391..218617961","190220","11768","133379","ENSG00000092969","-","HPRD:01828","2432","10389939"
"TGFBR1","7046","NC_000009.11","101867412..101916474","190181","11772","494622","ENSG00000106799","-","HPRD:01822","3177","15797633"
"TGM3","7053","NC_000020.10","2276613..2321725","600238","11779","2022","ENSG00000125780","-","HPRD:02584","20690","16353136"
"THBD","7056","NC_000020.10","23026270..23030301 complement","188040","11784","2030","ENSG00000178726","-","HPRD:01764","308","16450401"
"THBS1","7057","NC_000015.9","39873280..39889668","188060","11785","164226","ENSG00000137801","-","HPRD:01765","31142","15000492"
"THBS2","7058","NC_000006.11","169615875..169654137 complement","188061","11786","371147","ENSG00000186340","-","HPRD:01766","2438","11555600"
"TIMP1","7076","NC_000023.10","47441690..47446190","305370","11820","522632","ENSG00000102265","-","HPRD:02371","36321","15989693"
"TIMP2","7077","NC_000017.10","76849059..76921472 complement","188825","11821","633514","ENSG00000035862","-","HPRD:01784","2444","14712492"
"TIMP3","7078","NC_000022.10","33196802..33259028","188826","11822","644633","ENSG00000100234","-","HPRD:01785","36322","17971771"
"TKTL1","8277","NC_000023.10","153524151..153558700","300044","11835","102866","ENSG00000007350","-","HPRD:02080","8169","18686341"
"TLR2","7097","NC_000004.11","154605441..154627243","603028","11848","519033","ENSG00000137462","-","HPRD:04323","20695","19541348"
"TLR4","7099","NC_000009.11","120466460..120479768","603030","11850","174312","ENSG00000136869","PA36552","HPRD:04325","41317","19541348"
"TLR8","51311","NC_000023.10","12924758..12941288","300366","15632","660543","ENSG00000101916","-","HPRD:02296","44054","16353136"
"TMC6","11322","NC_000017.10","76108999..76128488 complement","605828","18021","632227","ENSG00000141524","-","HPRD:08386","5258","20084279"
"TMCO6","55374","NC_000005.9","140019012..140024989","0","28814","712585","ENSG00000113119","-","HPRD:15177","12431","15047212"
"TMEM132A","54972","NC_000011.9","60691913..60704631","0","31092","118552","ENSG00000006118","-","HPRD:11034","75076","18217980"
"TMPRSS11D","9407","NC_000004.11","68686594..68749716 complement","605369","24059","132195","ENSG00000153802","-","HPRD:05642","74519","16353136"
"TMPRSS11E","28983","NC_000004.11","69313167..69363322","610399","24465","201877","ENSG00000087128","-","HPRD:09912","8543","16353136"
"TNF","7124","NC_000006.11","31543350..31546112","191160","11892","241570","ENSG00000232810","PA435","HPRD:01855","496","17306351"
"TNFRSF10C","8794","NC_000008.10","22960434..22974950","603613","11906","655801","ENSG00000173535","-","HPRD:04681","48244","14999791"
"TOB1","10140","NC_000017.10","48939584..48941413  complement","605523","11979","531550","ENSG00000141232","-","HPRD:09273","31334","16450401"
"TOP2A","7153","NC_000017.10","38544795..38574169 complement","126430","11989","156346","ENSG00000131747","PA354","HPRD:00536","830","15047212"
"TP53","7157","NC_000017.10","7571720..7590863 complement","191170","11998","654481","ENSG00000141510","PA36679","HPRD:01859","460","10534770"
"TP73","7161","NC_000001.10","3569129..3650467","601990","12003","697294","ENSG00000078900","-","HPRD:03587","3960","17971771"
"TPX2","22974","NC_000020.10","30326904..30389603","605917","1249","244580","ENSG00000088325","-","HPRD:05802","8107","18506748"
"TRA2A","29896","NC_000007.13","23544399..23571656  complement","602718","16645","445652","ENSG00000164548","-","HPRD:04096","40866","16450401"
"TREM2","54209","NC_000006.11","41126246..41130922 complement","605086","17761","435295","ENSG00000095970","-","HPRD:05473","10352","18217980"
"TRIM29","23650","NC_000011.9","119981994..120008863  complement","610658","17274","504115","ENSG00000137699","-","HPRD:10280","8100","16450401"
"TRIP13","9319","NC_000005.9","893004..918160","604507","12307","436187","ENSG00000071539","-","HPRD:05145","3125","18559093"
"TSPAN3","10099","NC_000015.9","77338331..77363513  complement","613134","17752","5062","ENSG00000140391","-","HPRD:15512","21168","16450401"
"TUBB2","7280","NC_000006.11","3153900..3157783 complement","0","12412","654543","ENSG00000137267","PA358","HPRD:01852","68156","15047212"
"TWIST1","7291","NC_000007.13","19155091..19157295 complement","601622","12428","66744","ENSG00000122691","-","HPRD:03374","402","17548682"
"TYK2","7297","NC_000019.9","10461204..10491248 complement","176941","12440","75516","ENSG00000105397","-","HPRD:01490","20712","19007971"
"TYMS","7298","NC_000018.9","657604..673499","188350","12441","592338","ENSG00000176890","PA359","HPRD:01774","834","16353136"
"UFD1L","7353","NC_000022.10","19437701..19466726 complement","601754","12520","474213","ENSG00000070010","-","HPRD:06778","39090","15047212"
"UPK1A","11045","NC_000019.9","36157715..36169367","611557","12577","159309","ENSG00000105668","-","HPRD:15624","21383","16353136"
"VEGFA","7422","NC_000006.11","43737953..43754224","192240","12680","73793","ENSG00000112715","PA37302","HPRD:01889","2534","12829126"
"VEGFB","7423","NC_000011.9","64002266..64006259","601398","12681","78781","ENSG00000173511","-","HPRD:03237","2535","15982726"
"VEGFC","7424","NC_000004.11","177604694..177713895 complement","601528","12682","435215","ENSG00000150630","-","HPRD:03317","3962","15771902"
"VHL","7428","NC_000003.11","10183319..10193762","608537","12687","517792","ENSG00000134086","PA37307","HPRD:01905","465","17467893"
"VPS35","55737","NC_000016.9","46693589..46723144 complement","601501","13487","454528","ENSG00000069329","-","HPRD:06085","6221","15047212"
"VSIG4","11326","NC_000023.10","65241580..65259967 complement","300353","17032","8904","ENSG00000155659","-","HPRD:02286","48515","16353136"
"VWF","7450","NC_000012.11","6058040..6233836 complement","193400","12726","440848","ENSG00000110799","PA37337","HPRD:01906","466","17054779"
"WT1","7490","NC_000011.9","32409325..32457087 complement","607102","12796","591980","ENSG00000184937","-","HPRD:06163","11536","18398837"
"XRCC1","7515","NC_000019.9","44047464..44079730 complement","194360","12828","98493","ENSG00000073050","PA369","HPRD:01909","31368","19012493"
"YIF1A","10897","NC_000011.9","66052051..66056638 complement","611484","16688","446445","ENSG00000174851","-","HPRD:06755","56295","15047212"
"ZBED2","79413","NC_000003.11","111311747..111314166 complement","0","20710","136912","ENSG00000177494","-","HPRD:15686","56992","16353136"
"ZNF217","7764","NC_000020.10","52183610..52199636 complement","602967","13009","155040","ENSG00000171940","-","HPRD:04272","4757","19007971"
